DesignVariation : bigCavity_x='25mm' bigCavity_y='10.5mm' bigCavity_z='1.5799999999999998mm' bigCavity_z0='8mm' bottom_z='9.5800000000000001mm' Cavity_Cap_Z='1.8999999999999999mm' cavityFeedMiddle_x='4mm' cavityFeedMiddle_y='6.0999999999999996mm' cavityFeedMiddle_z='3mm' cavityFeedMiddle_z0='5mm' cavityThrough_y='2mm' chip_dist='50um' coax_z0='7.5482500000000003mm' coaxCenter_h='2.2000000000000006mm' coaxCenter_r='0.14349999999999999mm' coaxCut_y='1mm' coaxIso_r='0.46999999999999997mm' coaxOuter_r='0.59499999999999997mm' coaxPos_x='6.5mm' coaxPos_y='5.25mm' coaxRecess_h='2.2000000000000006mm' coaxRecess_r='0.59499999999999997mm' Meshbox_big__length_var='100um' Meshbox_small__length_var='100um' stageRecess1_x='2.2000000000000002cm' stageRecess1_y='3.1000000000000001mm' stageRecess1_z='330um' stageRecess1_z0='7.6699999999999999mm' stageRecess2_x='6.0999999999999996mm' stageRecess2_y='6.0999999999999996mm' stageRecess2_z='710um' stageRecess2_z0='7.29mm' stageRecess3_x='25mm' stageRecess3_y='2.2000000000000006mm' stageRecess3_z='380.00000000000006um' stageRecess3_z0='7.6200000000000001mm' substrate_z='330um' total_x='25mm' total_y='10.5mm' wall_z='2.29mm' Z_Move_to_Origin='5mm'
Solution : Analysis2_0p2 : LastAdaptive
Parameter : Matrix_all
Capacitance Unit: pF

Capacitance
		bG1__Arm1__ex	bG1__Arm2__ex	bG1__phi1__ex	bG1__phi2__ex	bG1__phi3__ex	bG1__phi4__ex	qR7__Arm1__ex	qR7__Arm2__ex	qR7__phi1__ex	qR7__phi2__ex	qR7__phi3__ex	qR7__phi4__ex	qS16__Arm1__ex	qS16__Arm2__ex	qS16__phi1__ex	qS16__phi2__ex	qS16__phi3__ex	qS16__phi4__ex	bG1__Bondpad__ex	bG1__FBL__ex	bG1__Purcell__ex	Box__ex	qR7__BondPad__ex	qR7__Purcell__ex	qS16__Bondpad__ex	qS16__Purcell__ex
	bG1__Arm2__ex	-0.060394	1	-0.037123	-0.28651	-0.011677	-0.074071	-0.080556	-3.452E-05	-1.5423E-05	-1.1572E-05	-2.493E-06	-5.2025E-05	-1.0306E-07	-9.4987E-05	-3.5311E-08	-4.5638E-08	-5.3451E-09	-1.7036E-07	-0.03952	-0.36185	-0.13866	-0.0011238	-1.725E-08	-7.411E-07	-4.6683E-11	-1.9202E-09
	bG1__phi1__ex	-0.28585	-0.037123	1	-0.15414	-0.035426	-0.14645	-3.3745E-05	-3.5636E-08	-1.5904E-08	-1.1935E-08	-2.572E-09	-5.3722E-08	-4.3304E-08	-3.9897E-05	-1.4853E-08	-1.9199E-08	-2.2473E-09	-7.1551E-08	-0.0022136	-0.05374	-0.028498	-2.6978E-06	-1.7817E-11	-7.6548E-10	-1.9604E-11	-8.0634E-10
	bG1__phi2__ex	-0.037394	-0.28651	-0.15414	1	-0.032499	-0.14743	-4.78E-05	-5.0475E-08	-2.2531E-08	-1.6907E-08	-3.6434E-09	-7.6089E-08	-3.037E-08	-2.7982E-05	-1.0415E-08	-1.3462E-08	-1.576E-09	-5.0183E-08	-0.0022285	-0.053268	-0.028237	-2.7176E-06	-2.5234E-11	-1.0841E-09	-1.375E-11	-5.6555E-10
	bG1__phi3__ex	-0.012285	-0.011677	-0.035426	-0.032499	1	-0.05695	-1.1368E-05	-1.2007E-08	-5.356E-09	-4.0195E-09	-8.6637E-10	-1.8104E-08	-1.049E-08	-9.6634E-06	-3.5959E-09	-4.6478E-09	-5.442E-10	-1.7336E-08	-0.00072978	-0.010189	-0.014396	-7.6258E-07	-6.0049E-12	-2.58E-10	-4.7501E-12	-1.9538E-10
	bG1__phi4__ex	-0.076378	-0.074071	-0.14645	-0.14743	-0.05695	1	-7.3812E-05	-7.7967E-08	-3.4772E-08	-2.6096E-08	-5.6251E-09	-1.1756E-07	-6.746E-08	-6.2144E-05	-2.3122E-08	-2.9886E-08	-3.4995E-09	-1.1149E-07	-0.0048857	-0.057209	-0.13333	-4.928E-06	-3.8995E-11	-1.6754E-09	-3.0551E-11	-1.2566E-09
	qR7__Arm1__ex	-0.00011357	-0.080556	-3.3745E-05	-4.78E-05	-1.1368E-05	-7.3812E-05	1	-0.10163	-0.25006	-0.048788	-0.011743	-0.18408	-2.8598E-10	-2.6363E-07	-9.7926E-11	-1.2656E-10	-1.4827E-11	-4.7282E-10	-0.00021616	-0.0014014	-0.00045054	-0.20603	-5.5174E-05	-0.0023287	-1.2958E-13	-5.3302E-12
	qR7__Arm2__ex	-1.2E-07	-3.452E-05	-3.5636E-08	-5.0475E-08	-1.2007E-08	-7.7967E-08	-0.10163	1	-0.051936	-0.25871	-0.011709	-0.1912	-3.0228E-13	-2.7866E-10	-1.0351E-13	-1.3377E-13	-1.5672E-14	-4.9977E-13	-2.2864E-07	-1.4783E-06	-4.7633E-07	-0.21527	-5.7282E-05	-0.002421	-1.3697E-16	-5.634E-15
	qR7__phi1__ex	-5.3489E-08	-1.5423E-05	-1.5904E-08	-2.2531E-08	-5.356E-09	-3.4772E-08	-0.25006	-0.051936	1	-0.12267	-0.032153	-0.18437	-1.3462E-13	-1.241E-10	-4.6097E-14	-5.9573E-14	-6.9794E-15	-2.2257E-13	-1.0169E-07	-6.6293E-07	-2.12E-07	-0.0061255	-2.29E-05	-0.00093111	-6.0998E-17	-2.5091E-15
	qR7__phi2__ex	-4.0145E-08	-1.1572E-05	-1.1935E-08	-1.6907E-08	-4.0195E-09	-2.6096E-08	-0.048788	-0.25871	-0.12267	1	-0.026053	-0.1802	-1.0105E-13	-9.3149E-11	-3.46E-14	-4.4716E-14	-5.2387E-15	-1.6706E-13	-7.6337E-08	-4.9721E-07	-1.5914E-07	-0.0060103	-2.2321E-05	-0.00090849	-4.5785E-17	-1.8833E-15
	qR7__phi3__ex	-8.6549E-09	-2.493E-06	-2.572E-09	-3.6434E-09	-8.6637E-10	-5.6251E-09	-0.011743	-0.011709	-0.032153	-0.026053	1	-0.064032	-2.1791E-14	-2.0088E-11	-7.4617E-15	-9.6432E-15	-1.1298E-15	-3.6028E-14	-1.647E-08	-1.0699E-07	-3.4326E-08	-0.0011053	-6.6476E-06	-0.00026611	-9.8738E-18	-4.0615E-16
